local,filename,path,trinca,solda_fria,outros
10E,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,0,1,0
12E,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,0,1,0
13F,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,1,0,0
14A,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,0,1,0
14C,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,0,1,0
16E,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,0,1,0
18F,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,0,1,0
20C,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,0,1,0
21B,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,0,1,0
21C,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,0,1,0
22C,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,0,1,0
23B,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,0,1,0
2E,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,0,1,0
6E,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,0,1,0
8D,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,0,1,0
9E,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,0,1,0
13E,BR220728S06H09YA0199.jpg,images_folder/BR220728S06H09YA0199.jpg,0,1,0
22B,BR220728S06H09YA0199.jpg,images_folder/BR220728S06H09YA0199.jpg,0,1,0
4E,BR220728S06H09YA0199.jpg,images_folder/BR220728S06H09YA0199.jpg,0,1,0
22B,BR220728S06H09YA0199.jpg,images_folder/BR220728S06H09YA0199.jpg,0,1,0
4E,BR220728S06H09YA0199.jpg,images_folder/BR220728S06H09YA0199.jpg,0,1,0
