1A,BR220608S10H10YC004388 (another copy).jpg,Trinca,41.2,1.3108441829681396)
1A,BR220608S10H10YC004388 (another copy).jpg,Trinca,41.2,1.3108441829681396)
1C,BR220608S10H10YC004388 (another copy).jpg,Trinca,0.18,1.3108441829681396)
1E,BR220608S10H10YC004388 (another copy).jpg,Solda fria,0.24,1.3108441829681396)
2E,BR220608S10H10YC004388 (another copy).jpg,Trinca,0.23,1.3108441829681396)
4E,BR220608S10H10YC004388 (another copy).jpg,Solda fria,0.68,1.3108441829681396)
4E,BR220608S10H10YC004388 (another copy).jpg,Solda fria,0.3,1.3108441829681396)
4E,BR220608S10H10YC004388 (another copy).jpg,Solda fria,0.4,1.3108441829681396)
5D,BR220608S10H10YC004388 (another copy).jpg,Solda fria,0.59,1.3108441829681396)
5D,BR220608S10H10YC004388 (another copy).jpg,Solda fria,0.38,1.3108441829681396)
5D,BR220608S10H10YC004388 (another copy).jpg,Trinca,0.83,1.3108441829681396)
5E,BR220608S10H10YC004388 (another copy).jpg,Solda fria,0.79,1.3108441829681396)
5F,BR220608S10H10YC004388 (another copy).jpg,Solda fria,1.1,1.3108441829681396)
6A,BR220608S10H10YC004388 (another copy).jpg,Solda fria,0.34,1.3108441829681396)
6C,BR220608S10H10YC004388 (another copy).jpg,Trinca,0.14,1.3108441829681396)
6D,BR220608S10H10YC004388 (another copy).jpg,Solda fria,2.42,1.3108441829681396)
7D,BR220608S10H10YC004388 (another copy).jpg,Solda fria,0.53,1.3108441829681396)
7D,BR220608S10H10YC004388 (another copy).jpg,Solda fria,0.44,1.3108441829681396)
7D,BR220608S10H10YC004388 (another copy).jpg,Solda fria,0.56,1.3108441829681396)
7D,BR220608S10H10YC004388 (another copy).jpg,Solda fria,0.48,1.3108441829681396)
7D,BR220608S10H10YC004388 (another copy).jpg,Solda fria,0.3,1.3108441829681396)
7D,BR220608S10H10YC004388 (another copy).jpg,Solda fria,0.42,1.3108441829681396)
7D,BR220608S10H10YC004388 (another copy).jpg,Solda fria,0.44,1.3108441829681396)
7D,BR220608S10H10YC004388 (another copy).jpg,Solda fria,0.46,1.3108441829681396)
7D,BR220608S10H10YC004388 (another copy).jpg,Solda fria,0.61,1.3108441829681396)
8B,BR220608S10H10YC004388 (another copy).jpg,Solda fria,0.66,1.3108441829681396)
8E,BR220608S10H10YC004388 (another copy).jpg,Trinca,0.2,1.3108441829681396)
9E,BR220608S10H10YC004388 (another copy).jpg,Solda fria,0.44,1.3108441829681396)
9E,BR220608S10H10YC004388 (another copy).jpg,Solda fria,0.73,1.3108441829681396)
10D,BR220608S10H10YC004388 (another copy).jpg,Solda fria,11.91,1.3108441829681396)
10E,BR220608S10H10YC004388 (another copy).jpg,Solda fria,0.34,1.3108441829681396)
11B,BR220608S10H10YC004388 (another copy).jpg,Solda fria,0.43,1.3108441829681396)
11C,BR220608S10H10YC004388 (another copy).jpg,Trinca,0.28,1.3108441829681396)
11D,BR220608S10H10YC004388 (another copy).jpg,Solda fria,0.54,1.3108441829681396)
11E,BR220608S10H10YC004388 (another copy).jpg,Solda fria,0.8,1.3108441829681396)
11E,BR220608S10H10YC004388 (another copy).jpg,Solda fria,0.91,1.3108441829681396)
11F,BR220608S10H10YC004388 (another copy).jpg,Trinca,0.43,1.3108441829681396)
11F,BR220608S10H10YC004388 (another copy).jpg,Trinca,0.25,1.3108441829681396)
12B,BR220608S10H10YC004388 (another copy).jpg,Solda fria,1.91,1.3108441829681396)
12B,BR220608S10H10YC004388 (another copy).jpg,Solda fria,0.6,1.3108441829681396)
12B,BR220608S10H10YC004388 (another copy).jpg,Solda fria,2.49,1.3108441829681396)
12F,BR220608S10H10YC004388 (another copy).jpg,Trinca,0.13,1.3108441829681396)
13B,BR220608S10H10YC004388 (another copy).jpg,Trinca,1.03,1.3108441829681396)
13C,BR220608S10H10YC004388 (another copy).jpg,Trinca,0.32,1.3108441829681396)
13D,BR220608S10H10YC004388 (another copy).jpg,Trinca,0.38,1.3108441829681396)
13D,BR220608S10H10YC004388 (another copy).jpg,Solda fria,0.44,1.3108441829681396)
13F,BR220608S10H10YC004388 (another copy).jpg,Solda fria,0.87,1.3108441829681396)
13F,BR220608S10H10YC004388 (another copy).jpg,Solda fria,1.17,1.3108441829681396)
14D,BR220608S10H10YC004388 (another copy).jpg,Solda fria,0.57,1.3108441829681396)
14D,BR220608S10H10YC004388 (another copy).jpg,Solda fria,0.44,1.3108441829681396)
14E,BR220608S10H10YC004388 (another copy).jpg,Trinca,0.09,1.3108441829681396)
15A,BR220608S10H10YC004388 (another copy).jpg,Solda fria,0.64,1.3108441829681396)
16C,BR220608S10H10YC004388 (another copy).jpg,Solda fria,0.68,1.3108441829681396)
16F,BR220608S10H10YC004388 (another copy).jpg,Trinca,0.18,1.3108441829681396)
18B,BR220608S10H10YC004388 (another copy).jpg,Solda fria,1.35,1.3108441829681396)
19B,BR220608S10H10YC004388 (another copy).jpg,Solda fria,7.93,1.3108441829681396)
19C,BR220608S10H10YC004388 (another copy).jpg,Solda fria,0.2,1.3108441829681396)
20D,BR220608S10H10YC004388 (another copy).jpg,Solda fria,0.48,1.3108441829681396)
20F,BR220608S10H10YC004388 (another copy).jpg,Solda fria,0.8,1.3108441829681396)
21A,BR220608S10H10YC004388 (another copy).jpg,Solda fria,2.66,1.3108441829681396)
21D,BR220608S10H10YC004388 (another copy).jpg,Solda fria,12.33,1.3108441829681396)
21F,BR220608S10H10YC004388 (another copy).jpg,Solda fria,10.64,1.3108441829681396)
22B,BR220608S10H10YC004388 (another copy).jpg,Solda fria,9.71,1.3108441829681396)
22E,BR220608S10H10YC004388 (another copy).jpg,Solda fria,3.47,1.3108441829681396)
22E,BR220608S10H10YC004388 (another copy).jpg,Solda fria,0.4,1.3108441829681396)
23A,BR220608S10H10YC004388 (another copy).jpg,Solda fria,1.52,1.3108441829681396)
23A,BR220608S10H10YC004388 (another copy).jpg,Solda fria,1.63,1.3108441829681396)
