local,filename,path,falha,tamanho,tempo
1A,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Trinca,41.2,17.73633861541748
1A,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Outros,0.43,17.73633861541748
1C,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Trinca,0.18,17.73633861541748
1D,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Outros,1.89,17.73633861541748
1E,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Outros,1.15,17.73633861541748
1E,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,0.24,17.73633861541748
1F,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Outros,1.87,17.73633861541748
2E,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Trinca,0.23,17.73633861541748
4E,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,0.68,17.73633861541748
4E,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,0.3,17.73633861541748
4E,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,0.4,17.73633861541748
5D,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,0.59,17.73633861541748
5D,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,0.38,17.73633861541748
5D,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Trinca,0.83,17.73633861541748
5E,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,0.79,17.73633861541748
5F,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,1.1,17.73633861541748
6A,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,0.34,17.73633861541748
6C,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Trinca,0.14,17.73633861541748
6D,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,2.42,17.73633861541748
7D,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,0.53,17.73633861541748
7D,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,0.44,17.73633861541748
7D,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,0.56,17.73633861541748
7D,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,0.48,17.73633861541748
7D,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,0.3,17.73633861541748
7D,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,0.42,17.73633861541748
7D,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,0.44,17.73633861541748
7D,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,0.46,17.73633861541748
7D,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,0.61,17.73633861541748
8B,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,0.66,17.73633861541748
8E,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Trinca,0.2,17.73633861541748
9E,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,0.44,17.73633861541748
9E,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,0.73,17.73633861541748
10D,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,11.91,17.73633861541748
10E,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,0.34,17.73633861541748
11B,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,0.43,17.73633861541748
11C,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Trinca,0.28,17.73633861541748
11D,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,0.54,17.73633861541748
11E,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,0.8,17.73633861541748
11E,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,0.91,17.73633861541748
11F,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Trinca,0.43,17.73633861541748
11F,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Trinca,0.25,17.73633861541748
12B,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,1.91,17.73633861541748
12B,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,0.6,17.73633861541748
12B,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,2.49,17.73633861541748
12F,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Trinca,0.13,17.73633861541748
13B,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Trinca,1.03,17.73633861541748
13C,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Trinca,0.32,17.73633861541748
13D,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Trinca,0.38,17.73633861541748
13D,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,0.44,17.73633861541748
13F,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,0.87,17.73633861541748
13F,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,1.17,17.73633861541748
14D,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,0.57,17.73633861541748
14D,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,0.44,17.73633861541748
14E,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Trinca,0.09,17.73633861541748
15A,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,0.64,17.73633861541748
16C,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,0.68,17.73633861541748
16F,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Trinca,0.18,17.73633861541748
18B,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,1.35,17.73633861541748
19B,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,7.93,17.73633861541748
19C,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,0.2,17.73633861541748
20D,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,0.48,17.73633861541748
20F,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,0.8,17.73633861541748
21A,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,2.66,17.73633861541748
21D,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,12.33,17.73633861541748
21F,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,10.64,17.73633861541748
22B,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,9.71,17.73633861541748
22D,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Outros,0.38,17.73633861541748
22E,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,3.47,17.73633861541748
22E,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,0.4,17.73633861541748
23A,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,1.52,17.73633861541748
23A,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,1.63,17.73633861541748
