local,filename,path,falha,tamanho
2A,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.87
2A,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,1.64
2A,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.36
2A,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.84
2A,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.8
2A,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.84
2A,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.42
2A,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.7
2A,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.33
2A,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.91
2C,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.72
2C,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,1.08
2C,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.76
2C,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.68
2C,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.83
2C,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.47
2C,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.64
2C,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.72
2C,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.82
2C,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.79
2C,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.7
2C,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.32
2C,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.39
2C,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.69
2E,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.76
2E,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.88
2E,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.89
2E,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.8
2E,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.91
2E,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.79
2E,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.81
2E,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.5
2E,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.6
2E,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,1.12
2E,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.6
2E,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.54
3A,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.8
3B,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.56
3B,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.59
3B,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.46
3F,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,1.14
3F,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.34
3F,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.42
3F,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.38
5B,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.58
5F,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.49
8E,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.58
9B,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.48
11B,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,10.93
11B,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,1.18
11D,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.46
11D,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.53
11D,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.57
12A,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.64
12A,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Trinca,0.17
12A,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,1.14
12A,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.2
13A,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.59
13B,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.59
13F,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,12.91
14A,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Trinca,0.8
14B,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.64
14B,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.38
14D,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.87
14F,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,1.18
14F,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.8
14F,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,1.89
14F,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.76
14F,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.63
14F,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.55
14F,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.75
14F,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.44
14F,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Trinca,0.92
14F,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.36
14F,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.46
15D,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Trinca,0.24
15F,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,44.75
16B,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,1.21
16B,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.64
16B,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.53
16B,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.72
16D,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.78
16D,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.76
16D,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.78
16D,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.89
16D,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,1.03
16D,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.52
16D,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.38
17C,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Trinca,0.32
17F,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,8.51
17F,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,27.7
18F,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.3
19A,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Trinca,2.34
19A,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.28
19B,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,1.02
19B,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.92
19B,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.89
19B,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.55
19B,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.93
19B,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.32
