local,filename,path,falha,tamanho,tempo
1A,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Trinca,4.51,60.70715808868408
1C,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Trinca,0.09,60.70715808868408
1D,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Trinca,1.88,60.70715808868408
1E,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Trinca,1.16,60.70715808868408
1F,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Trinca,2.05,60.70715808868408
2E,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Trinca,0.47,60.70715808868408
5F,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,1.0,60.70715808868408
7D,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,1.16,60.70715808868408
8E,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Trinca,0.15,60.70715808868408
9E,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,1.93,60.70715808868408
10D,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,6.11,60.70715808868408
11E,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,1.7,60.70715808868408
11F,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Trinca,1.61,60.70715808868408
12B,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,4.78,60.70715808868408
12F,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Trinca,0.93,60.70715808868408
13B,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Trinca,0.98,60.70715808868408
13C,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Trinca,0.49,60.70715808868408
13D,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Trinca,0.19,60.70715808868408
13E,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,2.03,60.70715808868408
13F,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,1.21,60.70715808868408
14B,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Trinca,0.21,60.70715808868408
16F,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Trinca,0.26,60.70715808868408
19B,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,4.66,60.70715808868408
20D,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,0.24,60.70715808868408
20F,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Trinca,0.48,60.70715808868408
21B,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,0.95,60.70715808868408
22B,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,3.91,60.70715808868408
22D,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Trinca,0.61,60.70715808868408
22E,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,3.14,60.70715808868408
23D,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,2.09,60.70715808868408
23E,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,1.81,60.70715808868408
24A,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Trinca,2.58,60.70715808868408
24B,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Trinca,3.48,60.70715808868408
24C,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Trinca,4.08,60.70715808868408
24D,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Trinca,2.79,60.70715808868408
24E,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Trinca,3.71,60.70715808868408
