local,filename,path,falha,tamanho,tempo
2A,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Trinca,0.18
2E,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Solda fria,1.66
4C,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Trinca,0.13
6E,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Solda fria,3.27
10E,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Solda fria,0.86
11A,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Trinca,0.23
12B,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Solda fria,0.83
12E,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Solda fria,10.09
13F,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Trinca,1.55
14C,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Solda fria,1.41
21C,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Solda fria,1.1
13E,BR220728S06H09YA0199.jpg,images_folder/BR220728S06H09YA0199.jpg,Solda fria,1.02
18D,BR220728S06H09YA0199.jpg,images_folder/BR220728S06H09YA0199.jpg,Trinca,0.26
13E,BR220728S06H09YA0199.jpg,images_folder/BR220728S06H09YA0199.jpg,Solda fria,1.02
18D,BR220728S06H09YA0199.jpg,images_folder/BR220728S06H09YA0199.jpg,Trinca,0.26
