local,filename,path,falha,tamanho
1D,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,1.43
2A,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,1.42
2C,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,1.6
2E,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,7.34
11B,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,6.06
13F,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,8.94
14A,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Trinca,0.51
14D,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,1.51
14F,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Trinca,0.42
14F,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,14.48
15D,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Trinca,0.56
15F,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,42.38
17C,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Trinca,0.19
17F,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,47.03
18F,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.87
19A,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Trinca,0.88
20B,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,2.22
20F,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.95
21D,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,2.7
22D,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,1.57
23C,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,3.68
24D,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,9.22
1D,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,1.43
2A,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,1.42
2C,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,1.6
2E,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,7.34
11B,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,6.06
13F,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,8.94
14A,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Trinca,0.51
14D,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,1.51
14F,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Trinca,0.42
14F,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,14.48
15D,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Trinca,0.56
15F,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,42.38
17C,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Trinca,0.19
17F,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,47.03
18F,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,0.87
19A,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Trinca,0.88
20B,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,2.22
20F,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,0.95
21D,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,2.7
22D,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,1.57
23C,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,3.68
24D,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,9.22
