local,filename,path,falha,tamanho,tempo
1A,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Trinca,1.02,15.591553211212158
6A,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,12.4,15.591553211212158
7A,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,10.7,15.591553211212158
7C,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,10.93,15.591553211212158
7E,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,11.15,15.591553211212158
7F,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,10.65,15.591553211212158
8E,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,10.03,15.591553211212158
9A,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,10.74,15.591553211212158
9E,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,12.37,15.591553211212158
10C,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,13.1,15.591553211212158
10E,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,9.31,15.591553211212158
11E,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,10.61,15.591553211212158
12A,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,9.05,15.591553211212158
12B,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,13.23,15.591553211212158
12E,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,9.53,15.591553211212158
13A,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,8.89,15.591553211212158
13B,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,11.33,15.591553211212158
13F,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,12.8,15.591553211212158
16C,BR220608S10H10YC004388 (copy).jpg,images_folder/BR220608S10H10YC004388 (copy).jpg,Solda fria,7.34,15.591553211212158
