local,filename,path,falha,tamanho
1A,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Trinca,0.09
1B,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Solda fria,10.58
1C,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Trinca,0.15
1D,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Solda fria,10.69
1E,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Solda fria,11.04
2A,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Solda fria,9.49
2B,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Outros,0.1
2C,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Solda fria,12.55
2E,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Solda fria,10.48
3A,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Solda fria,9.68
3B,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Outros,0.1
3C,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Solda fria,8.31
3E,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Solda fria,9.46
3F,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Outros,0.07
4A,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Solda fria,10.63
4C,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Solda fria,8.95
4E,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Solda fria,8.61
4F,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Outros,0.09
5A,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Solda fria,10.47
5C,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Solda fria,9.76
5D,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Outros,0.13
5E,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Solda fria,12.19
6B,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Solda fria,12.74
6C,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Solda fria,12.61
6E,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Solda fria,13.11
7A,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Solda fria,9.84
7B,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Outros,0.1
7C,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Solda fria,9.15
7E,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Solda fria,8.65
8A,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Trinca,0.1
8B,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Outros,0.1
8C,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Trinca,0.12
8D,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Outros,0.1
8E,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Solda fria,8.04
9A,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Solda fria,10.26
9B,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Outros,0.09
9C,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Solda fria,8.7
9D,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Outros,0.1
9E,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Solda fria,10.33
10A,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Solda fria,10.51
10B,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Outros,0.1
10C,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Solda fria,9.88
10E,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Solda fria,9.45
10F,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Outros,0.08
11A,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Solda fria,10.5
11D,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Outros,0.11
11E,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Solda fria,9.36
12B,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Solda fria,9.76
12C,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Trinca,0.13
12D,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Outros,0.19
12F,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Solda fria,11.34
13A,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Trinca,0.07
13B,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Solda fria,9.22
13C,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Solda fria,11.5
13E,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Solda fria,9.75
13F,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Outros,0.17
14A,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Solda fria,12.23
14B,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Solda fria,8.3
14C,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Solda fria,12.33
14E,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Solda fria,11.29
14F,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Outros,0.12
15A,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Solda fria,13.54
15B,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Outros,0.14
15C,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Solda fria,11.04
15D,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Solda fria,9.71
15E,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Solda fria,9.75
15F,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Outros,0.09
16A,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Solda fria,10.96
16B,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Outros,0.12
16C,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Solda fria,10.13
16D,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Outros,0.15
16E,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Solda fria,12.78
16F,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Outros,0.09
17A,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Solda fria,9.89
17B,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Outros,0.12
17C,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Solda fria,10.66
17D,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Outros,0.12
17E,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Solda fria,11.02
18A,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Solda fria,14.15
18C,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Solda fria,13.79
18D,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Solda fria,11.2
18E,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Solda fria,13.08
18F,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Outros,0.1
19A,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Solda fria,11.18
19B,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Outros,0.18
19C,BR220728S06H09YA0199 (copy).jpg,images_folder/BR220728S06H09YA0199 (copy).jpg,Solda fria,8.83
