local,filename,path,trinca,solda_fria,outros
12A,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,0,1,0
13C,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,1,0,0
14A,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,0,1,0
14C,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,0,1,0
15A,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,0,1,0
16A,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,0,1,0
16C,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,1,1,0
17A,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,0,1,0
18A,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,0,1,0
18C,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,0,1,0
20A,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,0,1,0
20C,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,0,1,0
21C,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,0,1,0
21F,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,0,1,0
22A,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,0,1,0
22C,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,0,1,0
23F,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,0,1,0
5A,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,0,1,0
6C,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,0,1,0
8B,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,0,1,0
8F,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,0,1,0
10B,BR220727S06H09YC0180.jpg,BR220727S06H09YC0180.jpg,0,1,0
11E,BR220727S06H09YC0180.jpg,BR220727S06H09YC0180.jpg,0,1,0
14A,BR220727S06H09YC0180.jpg,BR220727S06H09YC0180.jpg,0,1,0
14C,BR220727S06H09YC0180.jpg,BR220727S06H09YC0180.jpg,0,1,0
14E,BR220727S06H09YC0180.jpg,BR220727S06H09YC0180.jpg,0,1,0
15B,BR220727S06H09YC0180.jpg,BR220727S06H09YC0180.jpg,0,1,0
15F,BR220727S06H09YC0180.jpg,BR220727S06H09YC0180.jpg,0,1,0
16A,BR220727S06H09YC0180.jpg,BR220727S06H09YC0180.jpg,0,1,0
16C,BR220727S06H09YC0180.jpg,BR220727S06H09YC0180.jpg,0,1,0
16E,BR220727S06H09YC0180.jpg,BR220727S06H09YC0180.jpg,0,1,0
17F,BR220727S06H09YC0180.jpg,BR220727S06H09YC0180.jpg,0,1,0
18A,BR220727S06H09YC0180.jpg,BR220727S06H09YC0180.jpg,0,1,0
18C,BR220727S06H09YC0180.jpg,BR220727S06H09YC0180.jpg,0,1,0
18E,BR220727S06H09YC0180.jpg,BR220727S06H09YC0180.jpg,0,1,0
19F,BR220727S06H09YC0180.jpg,BR220727S06H09YC0180.jpg,0,1,0
20A,BR220727S06H09YC0180.jpg,BR220727S06H09YC0180.jpg,0,1,0
20C,BR220727S06H09YC0180.jpg,BR220727S06H09YC0180.jpg,0,1,0
20E,BR220727S06H09YC0180.jpg,BR220727S06H09YC0180.jpg,0,1,0
21F,BR220727S06H09YC0180.jpg,BR220727S06H09YC0180.jpg,0,1,0
22A,BR220727S06H09YC0180.jpg,BR220727S06H09YC0180.jpg,0,1,0
22E,BR220727S06H09YC0180.jpg,BR220727S06H09YC0180.jpg,0,1,0
23F,BR220727S06H09YC0180.jpg,BR220727S06H09YC0180.jpg,0,1,0
24A,BR220727S06H09YC0180.jpg,BR220727S06H09YC0180.jpg,0,1,0
24C,BR220727S06H09YC0180.jpg,BR220727S06H09YC0180.jpg,0,1,0
24E,BR220727S06H09YC0180.jpg,BR220727S06H09YC0180.jpg,0,1,0
24F,BR220727S06H09YC0180.jpg,BR220727S06H09YC0180.jpg,0,1,0
2B,BR220727S06H09YC0180.jpg,BR220727S06H09YC0180.jpg,0,1,0
3E,BR220727S06H09YC0180.jpg,BR220727S06H09YC0180.jpg,1,1,0
5B,BR220727S06H09YC0180.jpg,BR220727S06H09YC0180.jpg,0,1,0
5E,BR220727S06H09YC0180.jpg,BR220727S06H09YC0180.jpg,0,1,0
6B,BR220727S06H09YC0180.jpg,BR220727S06H09YC0180.jpg,0,1,0
6C,BR220727S06H09YC0180.jpg,BR220727S06H09YC0180.jpg,0,1,0
7E,BR220727S06H09YC0180.jpg,BR220727S06H09YC0180.jpg,0,1,0
8B,BR220727S06H09YC0180.jpg,BR220727S06H09YC0180.jpg,0,1,0
9E,BR220727S06H09YC0180.jpg,BR220727S06H09YC0180.jpg,0,1,0
11F,BR220727S06H09YB0303.jpg,BR220727S06H09YB0303.jpg,0,1,0
12B,BR220727S06H09YB0303.jpg,BR220727S06H09YB0303.jpg,0,1,0
13C,BR220727S06H09YB0303.jpg,BR220727S06H09YB0303.jpg,0,1,0
13E,BR220727S06H09YB0303.jpg,BR220727S06H09YB0303.jpg,0,1,0
14B,BR220727S06H09YB0303.jpg,BR220727S06H09YB0303.jpg,0,1,0
14F,BR220727S06H09YB0303.jpg,BR220727S06H09YB0303.jpg,0,1,0
15E,BR220727S06H09YB0303.jpg,BR220727S06H09YB0303.jpg,0,1,0
17D,BR220727S06H09YB0303.jpg,BR220727S06H09YB0303.jpg,0,1,0
17E,BR220727S06H09YB0303.jpg,BR220727S06H09YB0303.jpg,0,1,0
18C,BR220727S06H09YB0303.jpg,BR220727S06H09YB0303.jpg,0,1,0
18F,BR220727S06H09YB0303.jpg,BR220727S06H09YB0303.jpg,0,1,0
19A,BR220727S06H09YB0303.jpg,BR220727S06H09YB0303.jpg,0,1,0
19C,BR220727S06H09YB0303.jpg,BR220727S06H09YB0303.jpg,0,1,0
19E,BR220727S06H09YB0303.jpg,BR220727S06H09YB0303.jpg,0,1,0
20C,BR220727S06H09YB0303.jpg,BR220727S06H09YB0303.jpg,0,1,0
21A,BR220727S06H09YB0303.jpg,BR220727S06H09YB0303.jpg,0,1,0
21E,BR220727S06H09YB0303.jpg,BR220727S06H09YB0303.jpg,0,1,0
22B,BR220727S06H09YB0303.jpg,BR220727S06H09YB0303.jpg,0,1,0
23F,BR220727S06H09YB0303.jpg,BR220727S06H09YB0303.jpg,0,1,0
3D,BR220727S06H09YB0303.jpg,BR220727S06H09YB0303.jpg,0,1,0
3F,BR220727S06H09YB0303.jpg,BR220727S06H09YB0303.jpg,0,1,0
6A,BR220727S06H09YB0303.jpg,BR220727S06H09YB0303.jpg,0,1,0
6C,BR220727S06H09YB0303.jpg,BR220727S06H09YB0303.jpg,0,1,0
6E,BR220727S06H09YB0303.jpg,BR220727S06H09YB0303.jpg,0,1,0
7B,BR220727S06H09YB0303.jpg,BR220727S06H09YB0303.jpg,0,1,0
7D,BR220727S06H09YB0303.jpg,BR220727S06H09YB0303.jpg,0,1,0
7F,BR220727S06H09YB0303.jpg,BR220727S06H09YB0303.jpg,0,1,0
8C,BR220727S06H09YB0303.jpg,BR220727S06H09YB0303.jpg,0,1,0
9B,BR220727S06H09YB0303.jpg,BR220727S06H09YB0303.jpg,0,1,0
