local,filename,path,trinca,solda_fria,outros,celula_escura
10C,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,0,0,0,1
10D,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,0,0,0,1
11C,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,0,0,0,1
11D,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,0,0,0,1
12B,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,0,1,0,1
12C,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,0,0,0,1
12D,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,0,0,0,1
13C,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,0,0,0,1
13D,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,0,0,0,1
14C,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,0,0,0,1
14D,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,0,0,0,1
15C,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,0,0,0,1
15D,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,0,0,0,1
16C,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,0,0,0,1
16D,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,0,0,0,1
17C,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,0,0,0,1
17D,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,0,0,0,1
18C,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,0,0,0,1
18D,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,0,0,0,1
19C,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,0,0,0,1
19D,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,0,0,0,1
1B,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,0,1,0,1
1C,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,0,0,0,1
1D,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,0,0,0,1
1F,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,0,1,0,1
20C,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,0,0,0,1
20D,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,0,0,0,1
21C,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,0,0,0,1
21D,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,0,0,0,1
22C,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,0,0,0,1
22D,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,0,0,0,1
23C,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,0,0,0,1
23D,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,0,0,0,1
24C,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,0,0,0,1
24D,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,0,0,0,1
2C,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,0,0,0,1
2D,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,0,0,0,1
3A,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,0,1,0,1
3C,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,0,0,0,1
3D,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,0,0,0,1
4C,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,0,0,0,1
4D,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,0,0,0,1
5C,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,0,0,0,1
5D,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,0,0,0,1
6C,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,0,0,0,1
6D,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,0,0,0,1
7C,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,0,0,0,1
7D,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,0,0,0,1
8C,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,0,0,0,1
8D,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,0,0,0,1
9C,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,0,0,0,1
9D,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,0,0,0,1
