local,filename,path,falha,tamanho,tempo
1E,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,0.78,19.39337944984436
2D,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Trinca,0.53,19.39337944984436
3C,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Outros,0.53,19.39337944984436
3C,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,0.45,19.39337944984436
4F,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,0.88,19.39337944984436
4F,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Trinca,0.27,19.39337944984436
5A,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,0.97,19.39337944984436
5A,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,0.84,19.39337944984436
6C,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,3.87,19.39337944984436
8B,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,5.15,19.39337944984436
8D,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,0.34,19.39337944984436
8F,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,1.17,19.39337944984436
13C,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Trinca,8.44,19.39337944984436
13C,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,0.57,19.39337944984436
13F,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Trinca,0.6,19.39337944984436
14A,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,1.26,19.39337944984436
14A,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,0.89,19.39337944984436
14A,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,0.87,19.39337944984436
14A,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,1.1,19.39337944984436
14A,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,0.98,19.39337944984436
14A,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,1.24,19.39337944984436
14A,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,1.31,19.39337944984436
14C,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,1.06,19.39337944984436
14C,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,1.87,19.39337944984436
14C,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,1.43,19.39337944984436
14C,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,1.17,19.39337944984436
14C,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,0.92,19.39337944984436
14C,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,0.89,19.39337944984436
14C,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,0.89,19.39337944984436
14C,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,1.28,19.39337944984436
15A,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,1.11,19.39337944984436
15B,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,0.87,19.39337944984436
15C,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,0.58,19.39337944984436
16A,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,0.96,19.39337944984436
16A,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,0.98,19.39337944984436
16A,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,1.14,19.39337944984436
16A,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,1.0,19.39337944984436
16A,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,0.92,19.39337944984436
16A,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,0.78,19.39337944984436
16A,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,1.32,19.39337944984436
16A,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,1.03,19.39337944984436
16A,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,1.04,19.39337944984436
16A,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,0.75,19.39337944984436
16A,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,1.38,19.39337944984436
