local,filename,path,falha,tamanho
1B,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,Solda fria,1.86
1F,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,Solda fria,1.66
3A,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,Solda fria,1.59
3A,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,Solda fria,0.38
10A,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,Trinca,0.45
11E,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,Solda fria,0.43
12B,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,Solda fria,12.44
14B,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,Solda fria,0.39
15A,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,Trinca,0.34
17F,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,Solda fria,0.31
19F,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,Solda fria,0.98
