local,filename,path,falha,tamanho,tempo
3C,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Trinca,0.14,44.61925530433655
8B,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,1.66,44.61925530433655
12A,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,1.29,44.61925530433655
13C,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Trinca,2.47,44.61925530433655
13F,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Trinca,0.46,44.61925530433655
16A,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,0.73,44.61925530433655
16C,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Trinca,2.3,44.61925530433655
18A,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,1.34,44.61925530433655
19E,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Trinca,0.33,44.61925530433655
21C,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,1.21,44.61925530433655
22C,BR220727S06H09YC0138.jpg,BR220727S06H09YC0138.jpg,Solda fria,2.34,44.61925530433655
3E,BR220727S06H09YC0180.jpg,BR220727S06H09YC0180.jpg,Trinca,2.49,43.285359382629395
5B,BR220727S06H09YC0180.jpg,BR220727S06H09YC0180.jpg,Solda fria,1.06,43.285359382629395
10B,BR220727S06H09YC0180.jpg,BR220727S06H09YC0180.jpg,Solda fria,3.28,43.285359382629395
18C,BR220727S06H09YC0180.jpg,BR220727S06H09YC0180.jpg,Solda fria,0.9,43.285359382629395
19F,BR220727S06H09YC0180.jpg,BR220727S06H09YC0180.jpg,Solda fria,3.16,43.285359382629395
21B,BR220727S06H09YC0180.jpg,BR220727S06H09YC0180.jpg,Trinca,0.19,43.285359382629395
14F,BR220727S06H09YB0303.jpg,BR220727S06H09YB0303.jpg,Solda fria,1.51
18C,BR220727S06H09YB0303.jpg,BR220727S06H09YB0303.jpg,Solda fria,1.02
21A,BR220727S06H09YB0303.jpg,BR220727S06H09YB0303.jpg,Trinca,0.22
23D,BR220727S06H09YB0303.jpg,BR220727S06H09YB0303.jpg,Solda fria,0.57
24B,BR220727S06H09YB0303.jpg,BR220727S06H09YB0303.jpg,Solda fria,0.72
