local,filename,path,falha,tamanho
1F,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Solda fria,0.69
3C,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Trinca,0.82
7A,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Trinca,0.11
12A,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Trinca,0.25
12E,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Solda fria,1.45
13A,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Solda fria,1.17
13D,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Trinca,0.19
14F,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Trinca,0.26
15A,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Trinca,0.35
15C,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Solda fria,5.05
15E,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Solda fria,1.49
18A,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Trinca,0.74
21C,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Solda fria,0.62
22A,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Trinca,5.88
24E,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,Trinca,0.29
