local,filename,path,falha,tamanho,tempo
1A,BR220623S06H09YJ009033.jpg,BR220623S06H09YJ009033.jpg,Solda fria,10.82,10.20718502998352
1B,BR220623S06H09YJ009033.jpg,BR220623S06H09YJ009033.jpg,Solda fria,9.59,10.20718502998352
1C,BR220623S06H09YJ009033.jpg,BR220623S06H09YJ009033.jpg,Solda fria,10.59,10.20718502998352
1D,BR220623S06H09YJ009033.jpg,BR220623S06H09YJ009033.jpg,Solda fria,10.07,10.20718502998352
1E,BR220623S06H09YJ009033.jpg,BR220623S06H09YJ009033.jpg,Trinca,10.82,10.20718502998352
1F,BR220623S06H09YJ009033.jpg,BR220623S06H09YJ009033.jpg,Solda fria,11.16,10.20718502998352
2B,BR220623S06H09YJ009033.jpg,BR220623S06H09YJ009033.jpg,Trinca,9.59,10.20718502998352
2E,BR220623S06H09YJ009033.jpg,BR220623S06H09YJ009033.jpg,Solda fria,14.64,10.20718502998352
2F,BR220623S06H09YJ009033.jpg,BR220623S06H09YJ009033.jpg,Trinca,10.59,10.20718502998352
3B,BR220623S06H09YJ009033.jpg,BR220623S06H09YJ009033.jpg,Trinca,10.07,10.20718502998352
4D,BR220623S06H09YJ009033.jpg,BR220623S06H09YJ009033.jpg,Trinca,10.82,10.20718502998352
4E,BR220623S06H09YJ009033.jpg,BR220623S06H09YJ009033.jpg,Solda fria,13.34,10.20718502998352
5B,BR220623S06H09YJ009033.jpg,BR220623S06H09YJ009033.jpg,Solda fria,10.01,10.20718502998352
5D,BR220623S06H09YJ009033.jpg,BR220623S06H09YJ009033.jpg,Solda fria,7.61,10.20718502998352
5F,BR220623S06H09YJ009033.jpg,BR220623S06H09YJ009033.jpg,Trinca,11.16,10.20718502998352
6C,BR220623S06H09YJ009033.jpg,BR220623S06H09YJ009033.jpg,Solda fria,10.14,10.20718502998352
6E,BR220623S06H09YJ009033.jpg,BR220623S06H09YJ009033.jpg,Solda fria,13.47,10.20718502998352
7B,BR220623S06H09YJ009033.jpg,BR220623S06H09YJ009033.jpg,Solda fria,11.79,10.20718502998352
7D,BR220623S06H09YJ009033.jpg,BR220623S06H09YJ009033.jpg,Solda fria,10.64,10.20718502998352
8A,BR220623S06H09YJ009033.jpg,BR220623S06H09YJ009033.jpg,Solda fria,11.98,10.20718502998352
8C,BR220623S06H09YJ009033.jpg,BR220623S06H09YJ009033.jpg,Trinca,9.59,10.20718502998352
8E,BR220623S06H09YJ009033.jpg,BR220623S06H09YJ009033.jpg,Solda fria,12.98,10.20718502998352
9B,BR220623S06H09YJ009033.jpg,BR220623S06H09YJ009033.jpg,Solda fria,8.51,10.20718502998352
10C,BR220623S06H09YJ009033.jpg,BR220623S06H09YJ009033.jpg,Solda fria,9.75,10.20718502998352
10E,BR220623S06H09YJ009033.jpg,BR220623S06H09YJ009033.jpg,Solda fria,11.75,10.20718502998352
11B,BR220623S06H09YJ009033.jpg,BR220623S06H09YJ009033.jpg,Solda fria,9.4,10.20718502998352
12C,BR220623S06H09YJ009033.jpg,BR220623S06H09YJ009033.jpg,Solda fria,7.14,10.20718502998352
13A,BR220623S06H09YJ009033.jpg,BR220623S06H09YJ009033.jpg,Solda fria,6.73,10.20718502998352
13C,BR220623S06H09YJ009033.jpg,BR220623S06H09YJ009033.jpg,Solda fria,7.74,10.20718502998352
13E,BR220623S06H09YJ009033.jpg,BR220623S06H09YJ009033.jpg,Trinca,14.64,10.20718502998352
13F,BR220623S06H09YJ009033.jpg,BR220623S06H09YJ009033.jpg,Solda fria,11.9,10.20718502998352
14C,BR220623S06H09YJ009033.jpg,BR220623S06H09YJ009033.jpg,Trinca,10.59,10.20718502998352
15C,BR220623S06H09YJ009033.jpg,BR220623S06H09YJ009033.jpg,Solda fria,9.24,10.20718502998352
15E,BR220623S06H09YJ009033.jpg,BR220623S06H09YJ009033.jpg,Solda fria,7.66,10.20718502998352
18B,BR220623S06H09YJ009033.jpg,BR220623S06H09YJ009033.jpg,Solda fria,9.87,10.20718502998352
18D,BR220623S06H09YJ009033.jpg,BR220623S06H09YJ009033.jpg,Solda fria,10.73,10.20718502998352
18F,BR220623S06H09YJ009033.jpg,BR220623S06H09YJ009033.jpg,Solda fria,11.25,10.20718502998352
19E,BR220623S06H09YJ009033.jpg,BR220623S06H09YJ009033.jpg,Solda fria,9.53,10.20718502998352
20B,BR220623S06H09YJ009033.jpg,BR220623S06H09YJ009033.jpg,Solda fria,9.96,10.20718502998352
20C,BR220623S06H09YJ009033.jpg,BR220623S06H09YJ009033.jpg,Solda fria,9.21,10.20718502998352
20D,BR220623S06H09YJ009033.jpg,BR220623S06H09YJ009033.jpg,Solda fria,8.67,10.20718502998352
20F,BR220623S06H09YJ009033.jpg,BR220623S06H09YJ009033.jpg,Solda fria,10.76,10.20718502998352
21B,BR220623S06H09YJ009033.jpg,BR220623S06H09YJ009033.jpg,Solda fria,8.29,10.20718502998352
21C,BR220623S06H09YJ009033.jpg,BR220623S06H09YJ009033.jpg,Solda fria,10.0,10.20718502998352
21D,BR220623S06H09YJ009033.jpg,BR220623S06H09YJ009033.jpg,Solda fria,10.85,10.20718502998352
21E,BR220623S06H09YJ009033.jpg,BR220623S06H09YJ009033.jpg,Trinca,10.07,10.20718502998352
22C,BR220623S06H09YJ009033.jpg,BR220623S06H09YJ009033.jpg,Solda fria,10.28,10.20718502998352
23E,BR220623S06H09YJ009033.jpg,BR220623S06H09YJ009033.jpg,Solda fria,6.05,10.20718502998352
1E,BR220701S06H09YJ0082.jpg,BR220701S06H09YJ0082.jpg,Solda fria,9.82,9.87759280204773
3F,BR220701S06H09YJ0082.jpg,BR220701S06H09YJ0082.jpg,Trinca,9.82,9.87759280204773
4C,BR220701S06H09YJ0082.jpg,BR220701S06H09YJ0082.jpg,Solda fria,7.2,9.87759280204773
6C,BR220701S06H09YJ0082.jpg,BR220701S06H09YJ0082.jpg,Solda fria,9.83,9.87759280204773
9A,BR220701S06H09YJ0082.jpg,BR220701S06H09YJ0082.jpg,Solda fria,10.23,9.87759280204773
