local,filename,path,falha,tamanho
1C,BR220915S10H10YE0067.jpg,BR220915S10H10YE0067.jpg,Solda fria,10.28
1E,BR220915S10H10YE0067.jpg,BR220915S10H10YE0067.jpg,Outros,0.1
2B,BR220915S10H10YE0067.jpg,BR220915S10H10YE0067.jpg,Solda fria,13.05
2C,BR220915S10H10YE0067.jpg,BR220915S10H10YE0067.jpg,Solda fria,9.21
2E,BR220915S10H10YE0067.jpg,BR220915S10H10YE0067.jpg,Outros,0.14
3C,BR220915S10H10YE0067.jpg,BR220915S10H10YE0067.jpg,Solda fria,12.33
3D,BR220915S10H10YE0067.jpg,BR220915S10H10YE0067.jpg,Solda fria,7.08
5B,BR220915S10H10YE0067.jpg,BR220915S10H10YE0067.jpg,Solda fria,15.62
6C,BR220915S10H10YE0067.jpg,BR220915S10H10YE0067.jpg,Solda fria,12.11
7E,BR220915S10H10YE0067.jpg,BR220915S10H10YE0067.jpg,Outros,0.13
8C,BR220915S10H10YE0067.jpg,BR220915S10H10YE0067.jpg,Solda fria,9.78
8E,BR220915S10H10YE0067.jpg,BR220915S10H10YE0067.jpg,Solda fria,11.63
8F,BR220915S10H10YE0067.jpg,BR220915S10H10YE0067.jpg,Solda fria,13.3
9C,BR220915S10H10YE0067.jpg,BR220915S10H10YE0067.jpg,Outros,0.12
10A,BR220915S10H10YE0067.jpg,BR220915S10H10YE0067.jpg,Trinca,0.18
12E,BR220915S10H10YE0067.jpg,BR220915S10H10YE0067.jpg,Outros,0.01
13B,BR220915S10H10YE0067.jpg,BR220915S10H10YE0067.jpg,Solda fria,12.98
13C,BR220915S10H10YE0067.jpg,BR220915S10H10YE0067.jpg,Trinca,0.21
13E,BR220915S10H10YE0067.jpg,BR220915S10H10YE0067.jpg,Trinca,0.2
13F,BR220915S10H10YE0067.jpg,BR220915S10H10YE0067.jpg,Trinca,0.4
14A,BR220915S10H10YE0067.jpg,BR220915S10H10YE0067.jpg,Outros,0.16
15C,BR220915S10H10YE0067.jpg,BR220915S10H10YE0067.jpg,Solda fria,8.88
16C,BR220915S10H10YE0067.jpg,BR220915S10H10YE0067.jpg,Solda fria,10.72
16D,BR220915S10H10YE0067.jpg,BR220915S10H10YE0067.jpg,Trinca,0.23
17C,BR220915S10H10YE0067.jpg,BR220915S10H10YE0067.jpg,Outros,0.15
17D,BR220915S10H10YE0067.jpg,BR220915S10H10YE0067.jpg,Trinca,0.25
18D,BR220915S10H10YE0067.jpg,BR220915S10H10YE0067.jpg,Solda fria,12.06
19A,BR220915S10H10YE0067.jpg,BR220915S10H10YE0067.jpg,Outros,0.16
20D,BR220915S10H10YE0067.jpg,BR220915S10H10YE0067.jpg,Outros,0.06
24B,BR220915S10H10YE0067.jpg,BR220915S10H10YE0067.jpg,Outros,0.02
1A,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,Solda fria,13.83
3B,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,Solda fria,9.59
3E,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,Solda fria,7.19
5A,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,Outros,0.13
6E,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,Solda fria,9.73
9A,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,Outros,0.1
9E,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,Solda fria,8.75
10E,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,Solda fria,7.56
12E,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,Solda fria,9.65
13E,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,Solda fria,8.85
14A,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,Outros,0.2
14E,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,Solda fria,8.45
15A,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,Outros,0.17
17E,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,Solda fria,9.57
18B,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,Outros,0.09
18F,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,Outros,0.05
20E,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,Solda fria,8.93
23E,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,Solda fria,9.84
24F,BR220915S10H10YC0483.jpg,BR220915S10H10YC0483.jpg,Outros,0.01
